ID	問題	画像	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	選択肢6	選択肢7	正解番号	解説
V043	"よく理解して自分のものとすること"	""	"獲得"	"会得"	"受領"	"納得"	"自前"	""	""	2	"技術や知識を理解し習得することを「会得」といいます。"
V044	"方法"	""	"工夫"	"戦略"	"達成"	"手段"	"解決"	""	""	4	"やり方や手だてを「手段」と言い換えることができます。"
V045	"妥協"	""	"協力"	"譲歩"	"妥当"	"融和"	"終結"	""	""	2	"互いに譲り合って解決することは「譲歩」です。"
V046	"横柄"	""	"権力"	"横行"	"権勢"	"横着"	"尊大"	""	""	5	"威張って人を見下す態度は「尊大」といいます。"
V047	"実践"	""	"研究"	"挑戦"	"空想"	"命令"	"理論"	""	""	5	"実際に行うこと（実践）に対し、理屈だけなのが「理論」です。"
V048	"撤退"	""	"進出"	"出発"	"進行"	"開店"	"入場"	""	""	1	"退くこと（撤退）に対し、入って広がるのが「進出」です。"
V049	"感情"	""	"理屈"	"沈着"	"議論"	"理性"	"冷静"	""	""	4	"心の動き（感情）に対し、頭での制御を「理性」といいます。"
V050	"なし：果物\nア 乗り物：オートバイ\nイ バス：運送\nウ 柔道：格闘技"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	3	"「なし」は「果物」の包含関係。ウの「柔道」は「格闘技」の包含関係です。"
V051	"のり：接着\nア 鉛筆：筆記\nイ スマートフォン：通信\nウ 消しゴム：文房具"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	4	"道具とその用途。アとイが該当します。"
V052	"板前：調理\nア 俳優：演技\nイ 指導：コーチ\nウ 大工：建築"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	5	"職業とその主な行為。アとウが該当します。"
V053	"うどん：小麦粉\nア 木綿：手ぬぐい\nイ 豆腐：大豆\nウ 自転車：乗り物"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	2	"製品と原料の関係。イのみが該当します。"
V054	"過激：穏健\nア 信頼：信用\nイ 建設：破壊\nウ 分散：集中"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	6	"対義語の関係。イとウが該当します。"
V055	"欠点：短所\nア 困難：容易\nイ 方法：手段\nウ 勤勉：怠惰"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	2	"類義語の関係。イのみが該当します。"
V056	"お茶：ジュース\nア 猫：哺乳類\nイ りんご：みかん\nウ せっけん：洗浄"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	2	"並列関係（飲み物同士）。イのみが該当します。"
V057	"弓：矢\nア 電卓：計算\nイ 辞書：書籍\nウ 帯：和服"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	3	"セットで使用する（補完）関係。ウのみが該当します。"
V058	"たんす：家具\n野球：( )"	""	"試合"	"バックネット"	"応援"	"観戦"	"スポーツ"	""	""	5	"野球はスポーツの一種です。"
V059	"ストップウォッチ：計測\nトランペット：( )"	""	"楽器"	"演奏"	"発表"	"芸術"	"音楽"	""	""	2	"ストップウォッチで計測するように、トランペットで演奏します。"
V060	"牛乳：バター\nぶどう：( )"	""	"デザート"	"果物"	"ワイン"	"栽培"	"桃"	""	""	3	"牛乳からバターが作られるように、ぶどうからワインが作られます。"
V061	"教師：授業\n医師：( )"	""	"免許"	"学会"	"研究"	"診療"	"病院"	""	""	4	"教師が授業を行うように、医師は診療（診察）を行います。"
